Date,year,month,day,team,opponent,teamscore,oppscore,D1,Win,G,Overall_W,Overall_L,W-L%,SRS,SOS,Home_W,Home_L,Away_W,Away_L,Tm.Total Pts,Tm.Pts_Allowed,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,G_2,Overall_W_2,Overall_L_2,W-L%_2,SRS_2,SOS_2,Home_W_2,Home_L_2,Away_W_2,Away_L_2,Tm.Total Pts_2,Tm.Pts_Allowed_2,Pace_2,ORtg_2,FTr_2,3PAr_2,TS%_2,TRB%_2,AST%_2,STL%_2,BLK%_2,eFG%_2,TOV%_2,ORB%_2,FT/FGA_2
4/4/20,2020,3,33,Kansas,Michigan State,,,1,,31,28,3,0.903,25,11.66,14,1,11,1,2312,1882,67.9,109.4,0.35,0.329,0.564,54.7,50.8,11.2,13.6,0.541,16.2,32.8,0.234,30,21,9,0.7,21.62,10.46,11,3,7,4,2273,1938,69.5,109.1,0.309,0.373,0.559,55.1,65,7.3,13.3,0.525,15.7,32.8,0.231
4/5/20,2020,3,34,Dayton,Iowa,,,1,,31,29,2,0.935,19.26,3.78,17,0,9,0,2480,2000,67.9,116.4,0.339,0.39,0.619,52.5,60.3,8.3,9.2,0.597,15.8,26.4,0.244,30,20,10,0.667,16.13,10.43,14,2,4,6,2334,2163,70.8,109.8,0.346,0.377,0.552,51.5,63.7,9,10.7,0.514,14.7,32.1,0.257
4/6/20,2020,3,35,Louisiana State,Florida State,,,1,,31,21,10,0.677,14.41,7.18,15,2,5,6,2495,2271,70.8,112.8,0.354,0.343,0.568,54.3,44.9,8.8,10.6,0.527,15.1,35.1,0.272,31,26,5,0.839,17.31,7.66,16,0,7,5,2336,2037,69.7,107.3,0.301,0.354,0.553,51.9,48.5,12.5,15.9,0.519,16.3,33.4,0.226
4/7/20,2020,3,36,Gonzaga,Illinois,,,1,,31,29,2,0.935,22.81,2.68,17,0,10,1,2720,2096,72.9,119.8,0.385,0.318,0.6,56.5,53.8,10.3,9.5,0.577,13.5,33.5,0.265,30,20,10,0.667,15.21,9.65,14,3,6,6,2161,1948,67.7,106,0.333,0.306,0.527,55.5,50.1,7.1,7.3,0.489,15.3,35.9,0.244
